GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur.Strategie,StrategieExpert,37,0,6,0,13,0,5,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur.Strategie,StrategieHumaine,75,9,15,0,26,4,10,1,1,1
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur.Strategie,StrategieNormale,37,0,6,0,13,0,5,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen,TestAffichageCarte,8,0,0,0,3,0,2,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen,Main,11,0,0,0,4,0,2,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.Controleur,PartieController,100,0,6,0,24,0,6,0,3,0
zhengfen,fr.uvsq.cprog.zhengfen.Controleur,PliController,487,0,61,0,103,0,48,0,17,0
zhengfen,fr.uvsq.cprog.zhengfen.Controleur,MancheController,275,0,28,0,47,0,20,0,6,0
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur.Strategie.HintVisitor,HintVisitor,150,0,38,0,39,0,24,0,5,0
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur,JoueurIA,13,0,0,0,5,0,2,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur,JoueurAbstrait,88,57,0,0,25,15,15,6,15,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.Joueur,JoueurHumain,6,7,0,0,2,3,1,1,1,1
zhengfen,fr.uvsq.cprog.zhengfen.Model,Action,69,0,0,0,12,0,1,0,1,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,OptionManager,35,318,8,38,3,65,8,33,0,18
zhengfen,fr.uvsq.cprog.zhengfen.Model,Manche,73,0,0,0,18,0,11,0,11,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,Combinaison,65,0,8,0,16,0,11,0,7,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,Partie,199,0,8,0,35,0,18,0,14,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,Carte.Valeur,0,87,0,0,0,2,0,1,0,1
zhengfen,fr.uvsq.cprog.zhengfen.Model,Dealer,57,0,4,0,13,0,4,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,Historique,56,0,2,0,16,0,8,0,7,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,ActionHistorique,21,0,0,0,8,0,4,0,4,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,ForceCombinaison,45,0,4,0,12,0,7,0,5,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,Pli,10,13,0,0,4,6,3,3,3,3
zhengfen,fr.uvsq.cprog.zhengfen.Model,Carte,18,167,2,6,1,33,3,7,1,5
zhengfen,fr.uvsq.cprog.zhengfen.Model,Carte.Couleur,0,39,0,0,0,2,0,1,0,1
zhengfen,fr.uvsq.cprog.zhengfen.Model,TypeCombinaison,724,158,113,5,140,28,92,6,28,5
zhengfen,fr.uvsq.cprog.zhengfen.Model,CombinaisonCourante,11,0,0,0,6,0,4,0,4,0
zhengfen,fr.uvsq.cprog.zhengfen.Model,PaquetDeCartes,114,0,14,0,19,0,12,0,5,0
zhengfen,fr.uvsq.cprog.zhengfen.View,VueJeu,19,0,2,0,7,0,4,0,3,0
zhengfen,fr.uvsq.cprog.zhengfen.View,InputManager,46,17,4,2,19,6,6,3,4,2
zhengfen,fr.uvsq.cprog.zhengfen.View,ModeAffichage,15,0,0,0,3,0,1,0,1,0
zhengfen,fr.uvsq.cprog.zhengfen.View,AffichageCarte,66,44,19,11,23,16,18,10,2,3
zhengfen,fr.uvsq.cprog.zhengfen.View,InputToCartes,40,209,16,37,15,40,17,28,1,8
zhengfen,fr.uvsq.cprog.zhengfen.View,MenuController,81,0,8,0,31,0,8,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View,VuePli,101,0,12,0,32,0,16,0,8,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,ClearTerminal,71,0,2,0,12,0,4,0,3,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,OptionsMenu,341,0,29,0,63,0,20,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,AffichageCombinaison,55,89,1,3,2,19,1,3,0,2
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,AffichageMainVisible,0,93,0,4,0,21,0,4,0,2
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,CombinaisonsMenu,210,0,12,0,27,0,8,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,AffichageTour,568,0,30,0,81,0,22,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,MenuType,39,0,0,0,7,0,1,0,1,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,DifficulteMenu,242,0,16,0,31,0,10,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,AffichageMainCache,0,49,0,4,0,14,0,4,0,2
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,MainMenu,133,0,8,0,23,0,7,0,2,0
zhengfen,fr.uvsq.cprog.zhengfen.View.Affichage,OptionsActives,188,0,12,0,22,0,10,0,4,0
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,SequenceTriplesCombination,2,214,2,26,1,33,2,17,0,5
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,SequenceQuartetsCombination,5,203,4,22,1,31,3,15,0,5
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,SuitSequenceCombination,2,158,1,23,1,31,1,15,0,4
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,FullHouseCombination,3,220,3,29,2,43,3,21,0,8
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,PaireCombinaison,0,65,0,8,0,14,0,10,0,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,BombeCombinaison,0,54,0,6,0,11,0,9,0,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,SingleCombination,0,26,0,2,0,7,0,5,0,4
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,Special_3,0,43,1,7,0,9,1,9,0,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,Special_2,2,77,2,10,1,19,2,11,0,7
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,Special_1,2,58,2,6,1,16,2,8,0,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,TripletCombinaison,0,54,0,6,0,11,0,9,0,6
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,AbstractCombinaison,13,23,4,2,4,8,4,3,1,3
zhengfen,fr.uvsq.cprog.zhengfen.Model.list_Combinaison,SequencePairsCombination,4,259,4,34,2,40,4,20,0,5
